keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
_mup_,lreob,wyfdq,_htc_,kinas,jgvxz,sanikboerl,19.8593,9.83%,3.96%,24.64%,34.26%,52.14%,47.86%,48.99%,51.01%,8554944.10,4460510.60,4094433.50,2442527,2543165,1708281,1228309,1079840,1197571
_mup_,lreob,wfydq,_htc_,kanis,jgvxz,sinakboerl,19.8584,9.83%,3.96%,24.64%,34.26%,51.78%,48.22%,48.99%,51.01%,8555906.60,4430558.00,4125348.60,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,wyfdq,_htc_,kinas,jgvxz,sanikpoerl,19.8577,9.83%,3.96%,24.27%,34.26%,52.25%,47.75%,48.99%,51.01%,8574780.20,4480346.70,4094433.50,2442527,2543165,1708281,1210229,1079840,1197571
_mub_,lreop,wfydq,_htc_,kanis,jgvxz,sinakpoerl,19.8565,9.83%,3.96%,24.27%,34.26%,51.90%,48.10%,48.99%,51.01%,8576097.80,4450749.20,4125348.60,2442527,2543165,1708281,1210229,1079840,1197571
_mup_,lreob,fwydq,_htc_,kinas,jgvxz,sanikboerl,19.8526,9.83%,3.96%,24.64%,34.26%,52.18%,47.82%,48.99%,51.01%,8562303.50,4467870.00,4094433.50,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,fwydq,_htc_,kinas,jgvxz,sanikpoerl,19.8507,9.83%,3.96%,24.27%,34.26%,52.29%,47.71%,48.99%,51.01%,8582494.70,4488061.20,4094433.50,2442527,2543165,1708281,1210229,1079840,1197571
_mub_,lreop,wfydj,_htg_,kinas,qvcxz,sanikpoerl,19.8384,9.31%,3.45%,25.47%,34.25%,51.03%,48.97%,49.12%,50.88%,8782984.80,4482201.00,4300783.80,2449097,2536595,1707354,1269918,1083521,1194817
_mup_,lreob,wfydq,_htc_,kians,jgvxz,snaikboerl,19.8370,9.83%,3.96%,24.64%,34.26%,51.64%,48.36%,48.99%,51.01%,8579380.40,4430558.00,4148822.40,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,wfydq,_htc_,kians,jgvxz,snaikpoerl,19.8351,9.83%,3.96%,24.27%,34.26%,51.76%,48.24%,48.99%,51.01%,8599571.60,4450749.20,4148822.40,2442527,2543165,1708281,1210229,1079840,1197571
_mup_,lreob,fwydq,_htc_,kanis,jgvxz,sinakboerl,19.8244,9.83%,3.96%,24.64%,34.26%,51.99%,48.01%,48.99%,51.01%,8593218.60,4467870.00,4125348.60,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,fwydq,_htc_,kanis,jgvxz,sinakpoerl,19.8225,9.83%,3.96%,24.27%,34.26%,52.11%,47.89%,48.99%,51.01%,8613409.80,4488061.20,4125348.60,2442527,2543165,1708281,1210229,1079840,1197571
_mup_,lreob,wfydq,_htc_,kains,jgvxz,sniakboerl,19.8214,9.83%,3.96%,24.64%,34.26%,51.54%,48.46%,48.99%,51.01%,8596547.60,4430558.00,4165989.60,2442527,2543165,1708281,1228309,1079840,1197571
_mub_,lreop,wfydq,_htc_,kains,jgvxz,sniakpoerl,19.8195,9.83%,3.96%,24.27%,34.26%,51.65%,48.35%,48.99%,51.01%,8616738.80,4450749.20,4165989.60,2442527,2543165,1708281,1210229,1079840,1197571
_gupq,riend,xkvc_,jfom_,wtash,_lbyz,eri,19.6348,11.58%,0.62%,18.93%,37.49%,50.65%,49.35%,49.84%,50.16%,8586225.90,4348761.30,4237464.60,2485068,2500624,1869345,943698,1116088,1000259
_htcx,dinev,___gz,wfomj,prasu,qlbyk,usarpvenid,19.6199,11.86%,4.74%,24.01%,34.72%,46.17%,53.83%,51.16%,48.84%,8374689.30,3866622.70,4508066.60,2550571,2435121,1731097,1196893,1190395,1064200
qmof_,userp,wyblj,_htc_,giand,_vkxz,dnaigpresu,19.6042,8.44%,7.62%,22.73%,35.18%,54.27%,45.73%,51.84%,48.16%,8378012.80,4546974.70,3831038.10,2584387,2401305,1754168,1133247,1160954,1070570
_dng_,lreav,xybp_,_htwq,kiosc,jumfz,lreavkiosc,19.6025,11.70%,4.76%,24.95%,34.88%,49.80%,50.20%,51.16%,48.84%,8316640.30,4141777.20,4174863.10,2550778,2434914,1739147,1243950,1185377,1061168
_htcx,dinev,___gz,wfomj,prasu,qlybk,usarpvenid,19.5984,11.86%,4.74%,24.01%,34.72%,46.04%,53.96%,51.16%,48.84%,8398495.30,3866622.70,4531872.60,2550571,2435121,1731097,1196893,1190395,1064200
qmof_,userp,wyblj,_htc_,giand,_vxkz,dnaigpresu,19.5928,8.44%,7.62%,22.73%,35.18%,54.19%,45.81%,51.84%,48.16%,8390754.60,4546974.70,3843779.90,2584387,2401305,1754168,1133247,1160954,1070570
wmof_,userp,qyblj,_htc_,giand,_vkxz,dnaigpresu,19.5702,8.44%,7.62%,21.90%,35.18%,54.70%,45.30%,51.84%,48.16%,8457255.50,4626217.40,3831038.10,2584387,2401305,1754168,1091905,1160954,1070570
_ucdq,maerp,ybvlk,_htw_,finos,_gzjx,maerpfinos,19.5498,12.12%,3.99%,23.69%,34.54%,54.99%,45.01%,50.98%,49.02%,8638307.70,4750098.30,3888209.40,2541621,2444071,1721917,1180943,1196563,1067212
_dngz,hietv,___cx,wfomj,prasu,qlybk,usarpvteih,19.5390,11.86%,4.74%,24.37%,34.72%,46.34%,53.66%,51.16%,48.84%,8446212.80,3914340.20,4531872.60,2550571,2435121,1731097,1215183,1190395,1064200
_ucdq,maerp,ykblv,_htw_,fnois,_gzxj,maerpfnois,19.5161,12.12%,3.99%,23.69%,34.54%,54.34%,45.66%,50.98%,49.02%,8676097.50,4714375.00,3961722.50,2541621,2444071,1721917,1180943,1196563,1067212
_mof_,hterw,xkvc_,juspq,gianl,_dybz,lnaigwreth,19.4961,10.14%,5.63%,21.56%,35.46%,50.17%,49.83%,51.37%,48.63%,8531882.90,4280310.00,4251572.90,2561061,2424631,1767934,1074937,1162365,1055393
_ucdq,marep,ykblv,_htw_,fions,_gzxj,marepfions,19.4896,12.12%,3.99%,23.69%,34.54%,54.97%,45.03%,50.98%,49.02%,8705815.80,4785247.80,3920568.00,2541621,2444071,1721917,1180943,1196563,1067212
_ucdq,maerp,ybvlk,_htw_,fnois,_gzxj,maerpfnois,19.4843,12.12%,3.99%,23.69%,34.54%,54.52%,45.48%,50.98%,49.02%,8711820.80,4750098.30,3961722.50,2541621,2444071,1721917,1180943,1196563,1067212
_dngx,hietv,___cz,kuspq,fraom,jlywb,moarfvteih,19.4823,11.86%,4.74%,24.40%,34.72%,45.94%,54.06%,51.16%,48.84%,8507915.60,3908506.60,4599409.00,2550571,2435121,1731097,1216757,1190395,1064200
_dngx,hietv,___cz,kuspj,fraom,qlywb,moarfvteih,19.4652,11.86%,4.74%,24.48%,34.72%,45.86%,54.14%,51.16%,48.84%,8523563.00,3908506.60,4615056.40,2550571,2435121,1731097,1220359,1190395,1064200
_ucdq,marep,ykblv,_htw_,fnois,_gzxj,marepfnois,19.4531,12.12%,3.99%,23.69%,34.54%,54.71%,45.29%,50.98%,49.02%,8746970.30,4785247.80,3961722.50,2541621,2444071,1721917,1180943,1196563,1067212
_dngx,hietv,___cz,kpsuj,fraom,qlywb,moarfvteih,19.4479,11.86%,4.74%,24.48%,34.72%,45.75%,54.25%,51.16%,48.84%,8543005.50,3908506.60,4634498.90,2550571,2435121,1731097,1220359,1190395,1064200
jpomf,userv,zbylx,kwdg_,hnati,qc___,itanhvresu,19.4416,9.77%,5.99%,21.64%,34.68%,51.98%,48.02%,51.45%,48.55%,8860617.10,4606098.90,4254518.20,2565321,2420371,1728935,1079041,1180926,1075831
